campaign_id,mechanism_id,median_relative_error,mean_relative_error,n
campaign_0ddb81cb8c2a,C3_v3_5_C0,0.1541472239855205,0.1581063624074539,5
campaign_0ddb81cb8c2a,Konnov_2026,0.0354773719292863,0.03699969924706462,5
campaign_0ddb81cb8c2a,MEI_2019,0.0407000187975318,0.05996424809841466,5
campaign_0ddb81cb8c2a,MEI_2021,0.0832210156768437,0.0806525667080267,5
campaign_0ddb81cb8c2a,NUIG_2024,0.1516475830841133,0.17194004630147613,5
campaign_0ddb81cb8c2a,Otomo_2018,0.1938837602295516,0.14623406758707694,5
campaign_0ddb81cb8c2a,POLIMI_2023,0.1207413404229223,0.09906617240525784,5
campaign_0ddb81cb8c2a,RMG_2026_Burke,0.0460974416929374,0.0399211214831874,5
campaign_11f336e77db5,C3_v3_5_C0,0.1201822721317569,0.13477300977242562,5
campaign_11f336e77db5,Konnov_2026,0.136824163003527,0.12158990570555624,5
campaign_11f336e77db5,MEI_2019,0.1620841445435519,0.1682160075070705,5
campaign_11f336e77db5,MEI_2021,0.0180391533106011,0.10724699299110763,5
campaign_11f336e77db5,NUIG_2024,0.1862037612947652,0.14980508144614524,5
campaign_11f336e77db5,Otomo_2018,0.1610965233462855,0.2295303021466451,5
campaign_11f336e77db5,POLIMI_2023,0.0800582561233601,0.11258124725608983,5
campaign_11f336e77db5,RMG_2026_Burke,0.0668805940348462,0.06814772601764306,5
campaign_16f8038c5740,C3_v3_5_C0,0.0581608072436537,0.08279637702749029,5
campaign_16f8038c5740,Konnov_2026,0.1206458772954364,0.12186516494833588,5
campaign_16f8038c5740,MEI_2019,0.1017912782754057,0.12354728923095479,5
campaign_16f8038c5740,MEI_2021,0.1459852487241657,0.1169625857350943,5
campaign_16f8038c5740,NUIG_2024,0.0979813695761232,0.10637765086060025,5
campaign_16f8038c5740,Otomo_2018,0.1178437676482565,0.12751477632515076,5
campaign_16f8038c5740,POLIMI_2023,0.1258552391007314,0.12155466020698344,5
campaign_16f8038c5740,RMG_2026_Burke,0.0949420065355385,0.11258796357264793,5
campaign_629a30b39091,C3_v3_5_C0,0.0611895167452278,0.18511524836314067,5
campaign_629a30b39091,Konnov_2026,0.0837509603674103,0.10544234273462225,5
campaign_629a30b39091,MEI_2019,0.1078382961689166,0.2382210972975415,5
campaign_629a30b39091,MEI_2021,0.0706056764331313,0.10863431017180289,5
campaign_629a30b39091,NUIG_2024,0.0817375933717991,0.2313714093296047,5
campaign_629a30b39091,Otomo_2018,0.2049314970703774,0.17850327071545374,5
campaign_629a30b39091,POLIMI_2023,0.1395211211892732,0.3055180918259655,5
campaign_629a30b39091,RMG_2026_Burke,0.0373733110529164,0.1022124381599597,5
campaign_6f2c5118f885,C3_v3_5_C0,0.1321288524956567,0.1257574497723588,5
campaign_6f2c5118f885,Konnov_2026,0.066791713108274,0.10312185872222808,5
campaign_6f2c5118f885,MEI_2019,0.0959835847522295,0.10979335952780093,5
campaign_6f2c5118f885,MEI_2021,0.0910686176826003,0.07232894686606102,5
campaign_6f2c5118f885,NUIG_2024,0.1567947962382742,0.1238310733755549,5
campaign_6f2c5118f885,Otomo_2018,0.0633042986834532,0.07582026880632445,5
campaign_6f2c5118f885,POLIMI_2023,0.0606050749150026,0.07559482265355702,5
campaign_6f2c5118f885,RMG_2026_Burke,0.0825384351049673,0.07913121146980698,5
campaign_9268c5c9de04,C3_v3_5_C0,0.2900019389730351,0.3683614438344147,5
campaign_9268c5c9de04,Konnov_2026,0.3366916812339455,0.47023350598181873,5
campaign_9268c5c9de04,MEI_2019,0.3644189188683989,0.3789039508981134,5
campaign_9268c5c9de04,MEI_2021,0.2124817683895951,0.2947062809756581,5
campaign_9268c5c9de04,NUIG_2024,0.3276900362330211,0.44764452945371536,5
campaign_9268c5c9de04,Otomo_2018,0.2632553549026638,0.40674683490111985,5
campaign_9268c5c9de04,POLIMI_2023,0.4778897831703688,0.5719649002632363,5
campaign_9268c5c9de04,RMG_2026_Burke,0.4585316603814338,0.5511757332831224,4
campaign_a1e35abfc26f,C3_v3_5_C0,0.1749183238048993,0.20230215854280725,5
campaign_a1e35abfc26f,Konnov_2026,0.1821279273831324,0.1510601896164887,5
campaign_a1e35abfc26f,MEI_2019,0.1601974558453424,0.2121943522667351,5
campaign_a1e35abfc26f,MEI_2021,0.1319880361150979,0.1974395893186854,5
campaign_a1e35abfc26f,NUIG_2024,0.1548469037006412,0.21707059282003724,5
campaign_a1e35abfc26f,Otomo_2018,0.232920167951199,0.22633188463400788,5
campaign_a1e35abfc26f,POLIMI_2023,0.1460688259061666,0.17009127562143767,5
campaign_a1e35abfc26f,RMG_2026_Burke,0.2077233516347039,0.1872658155395532,5
campaign_aacd4964efeb,C3_v3_5_C0,0.1165836327759359,0.12074660054080617,5
campaign_aacd4964efeb,Konnov_2026,0.0830218599719177,0.15160282267607045,5
campaign_aacd4964efeb,MEI_2019,0.1157532597104331,0.11003741124831246,5
campaign_aacd4964efeb,MEI_2021,0.0838177247946945,0.07648942053247824,5
campaign_aacd4964efeb,NUIG_2024,0.185945470096414,0.17383865662744175,5
campaign_aacd4964efeb,Otomo_2018,0.1067793570733644,0.12667992579508175,5
campaign_aacd4964efeb,POLIMI_2023,0.2004498729122728,0.16948916270593894,5
campaign_aacd4964efeb,RMG_2026_Burke,0.0643087280536193,0.0606095470875065,5
campaign_b5091ed74b6b,C3_v3_5_C0,0.0441733595521714,0.07079915551420024,5
campaign_b5091ed74b6b,Konnov_2026,0.0956442406367214,0.09510623955695342,5
campaign_b5091ed74b6b,MEI_2019,0.0590145353987771,0.05978184853714168,5
campaign_b5091ed74b6b,MEI_2021,0.0307784864730691,0.032794182214446084,5
campaign_b5091ed74b6b,NUIG_2024,0.0192768166971918,0.0417857123885237,5
campaign_b5091ed74b6b,Otomo_2018,0.0811386099701599,0.08013698218526726,5
campaign_b5091ed74b6b,POLIMI_2023,0.055984594035107,0.059922449396980104,5
campaign_b5091ed74b6b,RMG_2026_Burke,0.0271825912399247,0.05139577007259458,5
campaign_b61f71c9265e,C3_v3_5_C0,0.076597812394837,0.11772800055498259,5
campaign_b61f71c9265e,Konnov_2026,0.1454312834747526,0.14134510612507092,5
campaign_b61f71c9265e,MEI_2019,0.0211246087893593,0.1502024046350354,5
campaign_b61f71c9265e,MEI_2021,0.0226102049591602,0.10031598428326845,5
campaign_b61f71c9265e,NUIG_2024,0.079374671093697,0.14834154609814218,5
campaign_b61f71c9265e,Otomo_2018,0.0921470317237113,0.19450388143136702,5
campaign_b61f71c9265e,POLIMI_2023,0.2018043911059825,0.22898153458381257,5
campaign_b61f71c9265e,RMG_2026_Burke,0.0902705309041242,0.16341913794366394,5
campaign_b661f10f22f4,C3_v3_5_C0,0.1894967308703573,0.18198451845093294,5
campaign_b661f10f22f4,Konnov_2026,0.226147020478281,0.21567534494876917,5
campaign_b661f10f22f4,MEI_2019,0.1540126619881588,0.15165091525603075,5
campaign_b661f10f22f4,MEI_2021,0.117789329678046,0.1252316380625605,5
campaign_b661f10f22f4,NUIG_2024,0.1918018618719101,0.1775120930488737,5
campaign_b661f10f22f4,Otomo_2018,0.1648378950426537,0.17651834041172193,5
campaign_b661f10f22f4,POLIMI_2023,0.0739875645185282,0.15016171560538544,5
campaign_b661f10f22f4,RMG_2026_Burke,0.1743903444197505,0.1748159878136081,5
campaign_bc661b9f179a,C3_v3_5_C0,0.1686312378518836,0.29496112997796364,5
campaign_bc661b9f179a,Konnov_2026,0.1395307028913295,0.3626073955544197,5
campaign_bc661b9f179a,MEI_2019,0.1858858558978351,0.24773861237705264,5
campaign_bc661b9f179a,MEI_2021,0.0982884239098363,0.21639288082866562,5
campaign_bc661b9f179a,NUIG_2024,0.250251292433777,0.35133206179360055,5
campaign_bc661b9f179a,Otomo_2018,0.1634983742817186,0.2590120977261392,5
campaign_bc661b9f179a,POLIMI_2023,0.3077101759183594,0.46916826487580987,5
campaign_bc661b9f179a,RMG_2026_Burke,0.185629464497472,0.349820756908575,5
campaign_c05311ec8444,C3_v3_5_C0,0.3033523463808705,0.46198210171375137,5
campaign_c05311ec8444,Konnov_2026,0.3325717082790307,0.45629424002489205,5
campaign_c05311ec8444,MEI_2019,0.3149457926883074,0.4595414751961724,5
campaign_c05311ec8444,MEI_2021,0.2397798559369415,0.3957355477318451,5
campaign_c05311ec8444,NUIG_2024,0.323706700541341,0.49140405229976986,5
campaign_c05311ec8444,Otomo_2018,0.3427355490718142,0.386514991584666,5
campaign_c05311ec8444,POLIMI_2023,0.4262306814853316,0.545887872699471,5
campaign_c05311ec8444,RMG_2026_Burke,0.2990796635850302,0.4343840700301991,5
campaign_ccb03cfde00c,C3_v3_5_C0,0.0916588619370732,0.09143173005300266,5
campaign_ccb03cfde00c,Konnov_2026,0.2408151980156456,0.22968224445509003,5
campaign_ccb03cfde00c,MEI_2019,0.1575661757759099,0.15947573318315833,5
campaign_ccb03cfde00c,MEI_2021,0.0807892605952735,0.1334396685247688,5
campaign_ccb03cfde00c,NUIG_2024,0.0652844382707013,0.086869381849545,5
campaign_ccb03cfde00c,Otomo_2018,0.0838863982134901,0.14822276135881873,5
campaign_ccb03cfde00c,POLIMI_2023,0.1576272314628585,0.181745205701446,5
campaign_ccb03cfde00c,RMG_2026_Burke,0.30415918801921976,0.3006933790025603,4
